                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.76179,                0.97558,                0.88745,                0.65659,                      1,                  0.995,                0.78513,                0.71721,                0.82775,                0.91698,             0.00057345,             0.00057345,             0.00057345
                     77,                0.68149,                0.93402,                0.86592,                0.65659,                      1,                  0.995,                0.78513,                0.71721,                0.82775,                0.91698,             0.00057325,             0.00057325,             0.00057325
                     78,                0.69492,                0.90689,                0.85687,                0.61772,                      1,                  0.995,                0.79842,                0.64046,                0.80692,                0.91245,             0.00057306,             0.00057306,             0.00057306
                     79,                0.67944,                0.98266,                0.87492,                0.61772,                      1,                  0.995,                0.79842,                0.64046,                0.80692,                0.91245,             0.00057286,             0.00057286,             0.00057286
                     80,                0.68293,                 1.0049,                0.86436,                0.70816,                0.91667,                  0.995,                0.79092,                0.66159,                0.83389,                0.91286,             0.00057267,             0.00057267,             0.00057267
                     81,                0.69251,                0.92357,                0.88993,                0.70816,                0.91667,                  0.995,                0.79092,                0.66159,                0.83389,                0.91286,             0.00057248,             0.00057248,             0.00057248
                     82,                0.71573,                0.95992,                0.86904,                0.61567,                      1,                  0.995,                0.78617,                0.72055,                0.88332,                0.91552,             0.00057228,             0.00057228,             0.00057228
                     83,                0.74766,                0.98216,                0.90824,                0.61567,                      1,                  0.995,                0.78617,                0.72055,                0.88332,                0.91552,             0.00057209,             0.00057209,             0.00057209
                     84,                0.74929,                 1.0334,                0.88458,                0.59483,                      1,                  0.995,                0.77971,                0.73938,                0.89043,                0.91142,             0.00057189,             0.00057189,             0.00057189
                     85,                0.71597,                0.95494,                0.86316,                0.59483,                      1,                  0.995,                0.77971,                0.73938,                0.89043,                0.91142,              0.0005717,              0.0005717,              0.0005717
                     86,                0.68803,                0.91324,                0.88217,                0.60698,                      1,                0.95354,                0.74681,                 0.7218,                 0.8489,                0.90647,             0.00057151,             0.00057151,             0.00057151
