                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.47664,                0.54307,                0.83387,                0.84442,                 0.8518,                0.90024,                0.69678,                0.75968,                0.68291,                 0.8775,             0.00037458,             0.00037458,             0.00037458
                     84,                0.45127,                0.50029,                0.79736,                0.85481,                0.85129,                0.90024,                0.70078,                0.76847,                0.70431,                0.87788,             0.00037445,             0.00037445,             0.00037445
                     85,                0.46778,                0.61549,                0.82896,                0.85481,                0.85129,                0.90024,                0.70078,                0.76847,                0.70431,                0.87788,             0.00037433,             0.00037433,             0.00037433
                     86,                0.45736,                0.53926,                0.83454,                0.84904,                0.85102,                0.90024,                0.71453,                0.79555,                0.68507,                0.88416,              0.0003742,              0.0003742,              0.0003742
                     87,                0.49308,                0.57089,                0.81899,                0.84853,                0.85089,                0.90024,                 0.7133,                0.81588,                 0.7095,                0.89295,             0.00037407,             0.00037407,             0.00037407
                     88,                0.46627,                0.51908,                0.80541,                0.83135,                0.85153,                0.90024,                 0.7183,                0.77046,                 0.6574,                0.88793,             0.00037395,             0.00037395,             0.00037395
                     89,                0.46989,                0.50597,                0.83091,                0.83135,                0.85153,                0.90024,                 0.7183,                0.77046,                 0.6574,                0.88793,             0.00037382,             0.00037382,             0.00037382
                     90,                0.44479,                0.57351,                0.81305,                0.80184,                0.85254,                0.90024,                0.73445,                0.74932,                0.64611,                0.88516,             0.00037369,             0.00037369,             0.00037369
                     91,                 0.4631,                0.52458,                0.82164,                 0.7642,                0.85364,                0.90024,                0.71614,                0.76325,                0.63001,                0.88769,             0.00037357,             0.00037357,             0.00037357
                     92,                0.46329,                0.50236,                0.84642,                0.75633,                 0.8536,                0.90024,                0.70907,                0.80069,                0.61596,                0.88993,             0.00037344,             0.00037344,             0.00037344
                     93,                0.46879,                0.54229,                0.83247,                0.75633,                 0.8536,                0.90024,                0.70907,                0.80069,                0.61596,                0.88993,             0.00037331,             0.00037331,             0.00037331
                     94,                0.43734,                0.50696,                0.81416,                0.78072,                0.85256,                0.90024,                0.70937,                0.83593,                0.62943,                 0.8951,             0.00037318,             0.00037318,             0.00037318
                     95,                0.48053,                 0.4984,                0.82806,                0.79994,                0.85188,                0.90024,                0.72235,                0.81442,                 0.6524,                0.89725,             0.00037306,             0.00037306,             0.00037306
                     96,                0.46667,                0.51111,                0.84865,                0.75459,                0.90014,                0.90024,                0.72793,                0.77488,                0.66436,                0.89186,             0.00037293,             0.00037293,             0.00037293
                     97,                0.47973,                0.50292,                0.83088,                0.75459,                0.90014,                0.90024,                0.72793,                0.77488,                0.66436,                0.89186,              0.0003728,              0.0003728,              0.0003728
                     98,                0.49045,                 0.5307,                 0.8355,                0.79772,                0.89909,                0.90024,                0.71834,                 0.7733,                0.71005,                0.88419,             0.00037268,             0.00037268,             0.00037268
                     99,                0.50571,                0.53159,                0.83228,                0.77585,                0.89956,                0.90024,                 0.7182,                0.78504,                0.72448,                0.88255,             0.00037255,             0.00037255,             0.00037255
